epoch,training_losses,training_recalls,validation_loss_epoch_end,validation_recall_epoch_end
1,0.9267328,0.10546875,0.55428183,0.0859375
1,1.0172875,0.12890625,0.55428183,0.0859375
1,0.910128,0.2421875,0.55428183,0.0859375
1,0.863051,0.22265625,0.55428183,0.0859375
1,0.81766504,0.14453125,0.55428183,0.0859375
1,0.792755,0.1953125,0.55428183,0.0859375
1,0.7652074,0.1953125,0.55428183,0.0859375
1,0.76992965,0.1953125,0.55428183,0.0859375
1,0.75017,0.21875,0.55428183,0.0859375
1,0.7214152,0.2265625,0.55428183,0.0859375
1,0.7436079,0.11328125,0.55428183,0.0859375
1,0.7122761,0.21484375,0.55428183,0.0859375
1,0.703786,0.23046875,0.55428183,0.0859375
1,0.7097991,0.13671875,0.55428183,0.0859375
1,0.72049296,0.15625,0.55428183,0.0859375
1,0.7004332,0.171875,0.55428183,0.0859375
1,0.6904391,0.1875,0.55428183,0.0859375
1,0.6992537,0.1640625,0.55428183,0.0859375
1,0.6868254,0.234375,0.55428183,0.0859375
1,0.70137584,0.1796875,0.55428183,0.0859375
1,0.7033071,0.171875,0.55428183,0.0859375
1,0.6819854,0.23046875,0.55428183,0.0859375
1,0.6938487,0.24609375,0.55428183,0.0859375
1,0.69725955,0.1875,0.55428183,0.0859375
1,0.6739546,0.2421875,0.55428183,0.0859375
1,0.6846099,0.21484375,0.55428183,0.0859375
1,0.68575895,0.18359375,0.55428183,0.0859375
1,0.68801904,0.1484375,0.55428183,0.0859375
1,0.68049204,0.24609375,0.55428183,0.0859375
1,0.6965699,0.1640625,0.55428183,0.0859375
1,0.6837306,0.22265625,0.55428183,0.0859375
1,0.6969447,0.1953125,0.55428183,0.0859375
1,0.68100893,0.2109375,0.55428183,0.0859375
1,0.6855095,0.19921875,0.55428183,0.0859375
1,0.67521733,0.16015625,0.55428183,0.0859375
1,0.67726475,0.16015625,0.55428183,0.0859375
1,0.69327015,0.16796875,0.55428183,0.0859375
1,0.6693908,0.20703125,0.55428183,0.0859375
1,0.68046707,0.171875,0.55428183,0.0859375
1,0.6881633,0.12890625,0.55428183,0.0859375
1,0.67828095,0.19140625,0.55428183,0.0859375
1,0.67346895,0.2578125,0.55428183,0.0859375
1,0.6729158,0.19140625,0.55428183,0.0859375
1,0.67856455,0.22265625,0.55428183,0.0859375
1,0.6762347,0.17578125,0.55428183,0.0859375
1,0.66585463,0.22265625,0.55428183,0.0859375
1,0.66573316,0.18359375,0.55428183,0.0859375
1,0.66779476,0.18359375,0.55428183,0.0859375
1,0.6680974,0.24609375,0.55428183,0.0859375
1,0.67584056,0.16796875,0.55428183,0.0859375
1,0.67978144,0.2109375,0.55428183,0.0859375
1,0.67138076,0.1875,0.55428183,0.0859375
1,0.6689062,0.13671875,0.55428183,0.0859375
1,0.665715,0.29296875,0.55428183,0.0859375
1,0.6684375,0.15234375,0.55428183,0.0859375
1,0.6662128,0.20703125,0.55428183,0.0859375
1,0.6669148,0.234375,0.55428183,0.0859375
1,0.6568321,0.2265625,0.55428183,0.0859375
1,0.6591817,0.16796875,0.55428183,0.0859375
1,0.6651149,0.1484375,0.55428183,0.0859375
1,0.6605469,0.25390625,0.55428183,0.0859375
1,0.6562368,0.2109375,0.55428183,0.0859375
1,0.6683968,0.21875,0.55428183,0.0859375
1,0.664655,0.20703125,0.55428183,0.0859375
1,0.6631545,0.140625,0.55428183,0.0859375
1,0.6710888,0.23046875,0.55428183,0.0859375
1,0.6589714,0.25,0.55428183,0.0859375
1,0.6657235,0.18359375,0.55428183,0.0859375
1,0.65503997,0.234375,0.55428183,0.0859375
1,0.67091477,0.18359375,0.55428183,0.0859375
1,0.65830886,0.2421875,0.55428183,0.0859375
1,0.65746295,0.1953125,0.55428183,0.0859375
1,0.66125774,0.16015625,0.55428183,0.0859375
1,0.6575892,0.23046875,0.55428183,0.0859375
1,0.65174663,0.24609375,0.55428183,0.0859375
1,0.6566191,0.2109375,0.55428183,0.0859375
1,0.66472304,0.1796875,0.55428183,0.0859375
1,0.65749246,0.20703125,0.55428183,0.0859375
1,0.66047615,0.21875,0.55428183,0.0859375
1,0.6586095,0.234375,0.55428183,0.0859375
1,0.65310854,0.23046875,0.55428183,0.0859375
1,0.6680229,0.1796875,0.55428183,0.0859375
1,0.66733736,0.2265625,0.55428183,0.0859375
1,0.66630733,0.19140625,0.55428183,0.0859375
1,0.66086155,0.25,0.55428183,0.0859375
1,0.65814334,0.1640625,0.55428183,0.0859375
1,0.646374,0.26171875,0.55428183,0.0859375
1,0.6616466,0.2421875,0.55428183,0.0859375
1,0.64854646,0.2265625,0.55428183,0.0859375
1,0.64628077,0.23828125,0.55428183,0.0859375
1,0.6527917,0.17578125,0.55428183,0.0859375
1,0.6516585,0.18359375,0.55428183,0.0859375
1,0.6598568,0.31640625,0.55428183,0.0859375
1,0.65322053,0.20703125,0.55428183,0.0859375
1,0.6480794,0.2265625,0.55428183,0.0859375
1,0.6519662,0.2109375,0.55428183,0.0859375
1,0.64852935,0.2109375,0.55428183,0.0859375
1,0.6652025,0.15234375,0.55428183,0.0859375
1,0.6540729,0.13671875,0.55428183,0.0859375
1,0.6619823,0.13671875,0.55428183,0.0859375
1,0.6510548,0.19921875,0.55428183,0.0859375
1,0.65024555,0.234375,0.55428183,0.0859375
1,0.64896786,0.1953125,0.55428183,0.0859375
1,0.6617205,0.1953125,0.55428183,0.0859375
1,0.6611935,0.2109375,0.55428183,0.0859375
1,0.6463948,0.1796875,0.55428183,0.0859375
1,0.6448006,0.23828125,0.55428183,0.0859375
1,0.65928066,0.2109375,0.55428183,0.0859375
1,0.6384727,0.203125,0.55428183,0.0859375
1,0.6554905,0.21875,0.55428183,0.0859375
1,0.6632228,0.16015625,0.55428183,0.0859375
1,0.6491184,0.1796875,0.55428183,0.0859375
1,0.65609634,0.19140625,0.55428183,0.0859375
1,0.6497474,0.13671875,0.55428183,0.0859375
1,0.6489936,0.25390625,0.55428183,0.0859375
1,0.64740586,0.25,0.55428183,0.0859375
1,0.65523326,0.20703125,0.55428183,0.0859375
1,0.6574346,0.17578125,0.55428183,0.0859375
1,0.6498249,0.21875,0.55428183,0.0859375
1,0.65037835,0.1796875,0.55428183,0.0859375
1,0.65579283,0.16796875,0.55428183,0.0859375
1,0.66083074,0.171875,0.55428183,0.0859375
1,0.6492568,0.203125,0.55428183,0.0859375
1,0.64686847,0.16796875,0.55428183,0.0859375
1,0.6381519,0.19921875,0.55428183,0.0859375
1,0.64896435,0.18359375,0.55428183,0.0859375
1,0.643908,0.28515625,0.55428183,0.0859375
1,0.65123487,0.19921875,0.55428183,0.0859375
1,0.649578,0.19140625,0.55428183,0.0859375
1,0.6518172,0.18359375,0.55428183,0.0859375
