losses,recalls
0.5756186,0.024
0.576041,0.018
0.574184,0.022
0.5759593,0.034
0.5738943,0.028
0.5752288,0.026
0.578067,0.014
0.57711124,0.024
0.57562894,0.012
0.5771096,0.012
0.5763673,0.012
0.5747289,0.018
0.5794176,0.02
0.5776935,0.022
0.57536644,0.028
0.57716155,0.024
0.57538426,0.016
0.5791084,0.018
0.5735601,0.016
0.5754929,0.022
0.5751472,0.028
0.5754489,0.016
0.5737295,0.022
0.5758288,0.016
0.5767602,0.018
0.5776234,0.024
0.5737906,0.028
0.5742468,0.03
0.5762899,0.018
0.57503545,0.016
0.5805127,0.014
0.57559234,0.014
0.57212335,0.022
0.57756543,0.018
0.5741018,0.026
0.5760066,0.014
0.5765251,0.026
0.5716011,0.022
0.5787289,0.008
0.57318366,0.018
0.57446235,0.026
0.5757886,0.018
0.5752977,0.02
0.57485056,0.022
0.574242,0.034
0.5748153,0.008
0.57598424,0.016
0.5731532,0.01
0.57641935,0.014
0.5737407,0.022
0.5763357,0.014
0.57596713,0.04
0.57744664,0.016
0.57850665,0.006
0.5749451,0.036
0.57438576,0.024
0.57833195,0.028
0.5755304,0.01
0.57731855,0.016
0.57625955,0.014
0.57582456,0.036
0.5755701,0.024
0.57450944,0.022
0.5753182,0.024
0.57745725,0.034
0.5747653,0.032
0.5717487,0.032
0.5733518,0.024
0.5736843,0.028
0.57520854,0.038
0.5762824,0.02
0.575121,0.01
0.57830644,0.024
0.5790857,0.012
0.5763453,0.02
0.57640207,0.03
0.5757389,0.022
0.5760856,0.014
0.5751177,0.03
0.5735058,0.018
0.5795114,0.02
0.57682294,0.012
0.5743893,0.012
0.5745896,0.014
0.5791374,0.018
0.5788991,0.02
0.57505834,0.016
0.5780267,0.016
0.57743376,0.014
0.57776356,0.016
0.5778764,0.026
0.57707036,0.012
0.57692516,0.028
0.57643855,0.024
0.571017,0.016
0.5766292,0.012
0.5749193,0.028
0.5760451,0.03
0.5738442,0.022
0.5718309,0.016
0.5768997,0.026
0.5750051,0.05
0.5737952,0.016
0.57530004,0.02
0.5746392,0.024
0.57653123,0.018
0.5758794,0.022
0.5748489,0.016
0.57749283,0.016
0.574956,0.026
0.57647896,0.012
0.57423687,0.016
0.57134986,0.018
0.5770726,0.024
0.57698715,0.012
0.5774143,0.016
0.5735091,0.02
0.57522386,0.012
0.5777169,0.014
0.57564086,0.026
0.5738729,0.01
0.57259744,0.016
0.57518184,0.014
0.57551324,0.012
0.5760977,0.008
0.5751698,0.022
0.5728977,0.014
0.576991,0.016
0.57801414,0.032
0.5757385,0.016
0.57436526,0.03
0.5725593,0.02
0.57571256,0.026
0.5744186,0.03
0.5720105,0.024
0.5733062,0.014
0.5768891,0.016
0.57602215,0.03
0.5770503,0.012
0.57432574,0.036
0.57306075,0.028
0.57628113,0.032
0.574379,0.038
0.57321626,0.024
0.57330173,0.034
0.5759908,0.036
0.5752675,0.03
0.574557,0.022
0.57193804,0.026
0.57174236,0.032
0.5726813,0.014
0.5760741,0.01
0.57200634,0.038
0.57477546,0.02
0.57318467,0.028
0.5734091,0.03
0.5728843,0.024
