losses,recalls
0.5611136,0.438
0.565598,0.388
0.5612067,0.396
0.5672799,0.388
0.55752796,0.432
0.566035,0.408
0.56786615,0.404
0.5637609,0.416
0.5718513,0.376
0.56873167,0.368
0.5560106,0.47
0.5685351,0.38
0.56712645,0.398
0.56065637,0.424
0.56165016,0.422
0.5671287,0.368
0.5687422,0.348
0.56406844,0.4
0.56122524,0.376
0.55840266,0.442
0.5580377,0.426
0.5690311,0.358
0.5611099,0.402
0.5597326,0.452
0.5600624,0.42
0.55152977,0.494
0.55994165,0.452
0.56266826,0.414
0.5622423,0.406
0.5557883,0.436
0.56094176,0.442
0.56347364,0.374
0.55929434,0.432
0.5554142,0.416
0.5562525,0.416
0.5579196,0.396
0.56497926,0.418
0.551641,0.456
0.5589579,0.386
0.5583733,0.462
0.5523265,0.46
0.5535991,0.444
0.554262,0.402
0.5535759,0.472
0.5566901,0.418
0.55252117,0.474
0.56030536,0.422
0.56018203,0.428
0.5544902,0.454
0.5577686,0.43
0.56533104,0.36
0.56257457,0.4
0.55758184,0.412
0.5501018,0.472
0.5586084,0.41
0.55747104,0.416
0.55347615,0.434
0.5574912,0.444
0.5587916,0.384
0.55437416,0.448
0.5575035,0.412
0.5503025,0.48
0.5584631,0.396
0.55395955,0.434
0.5497491,0.546
0.54227656,0.504
0.557438,0.39
0.5504532,0.448
0.5503444,0.462
0.5555699,0.436
0.55595136,0.408
0.55527264,0.44
0.55789125,0.418
0.54843545,0.464
0.55742526,0.448
0.549633,0.46
0.55721706,0.386
0.5537529,0.466
0.55282193,0.466
0.5583763,0.394
0.5499705,0.45
0.55517757,0.444
0.5538739,0.434
0.5545615,0.458
0.55151665,0.468
0.56074953,0.428
0.54933506,0.522
0.5557701,0.408
0.5555727,0.412
0.5539678,0.374
0.5547956,0.45
0.5564934,0.414
0.54801697,0.502
0.5501626,0.448
0.54343706,0.506
0.5533088,0.416
0.5537668,0.49
0.5473966,0.432
0.5515734,0.466
0.556825,0.436
0.5541274,0.466
0.5475709,0.486
0.5539578,0.47
0.5521406,0.492
0.55423456,0.454
0.55712616,0.432
0.551184,0.442
0.55117124,0.436
0.5514001,0.42
0.54733455,0.478
0.5586901,0.396
0.5545471,0.44
0.5591175,0.446
0.54992974,0.476
0.55338824,0.438
0.5497359,0.476
0.553225,0.478
0.55463225,0.42
0.5510649,0.44
0.5533251,0.424
0.5628159,0.388
0.5484192,0.492
0.5487091,0.494
0.5497707,0.48
0.54943424,0.434
0.54909104,0.49
0.55356973,0.426
0.55680645,0.372
0.5489896,0.466
0.5518651,0.414
0.5547325,0.446
0.5483766,0.47
0.5511713,0.446
0.5568015,0.41
0.5485076,0.438
0.5570911,0.392
0.5531003,0.446
0.5544901,0.42
0.5515819,0.422
0.5422863,0.486
0.5483961,0.464
0.5566312,0.4
0.54041165,0.516
0.5461833,0.472
0.55326366,0.416
0.5561128,0.444
0.5439148,0.468
0.5494744,0.416
0.5470266,0.496
0.54889965,0.464
0.5510046,0.406
0.54637045,0.448
0.54506,0.474
0.554266,0.384
0.5484601,0.458
0.548241,0.43
0.5505766,0.46
0.551135,0.428
0.549878,0.492
0.5503507,0.45
0.55147666,0.424
0.5547766,0.376
0.5448706,0.48
0.5540556,0.438
0.55063874,0.45
0.55278,0.472
0.54961026,0.442
0.5397155,0.532
0.54468447,0.514
0.54892266,0.434
0.53995717,0.532
0.5384302,0.534
0.55363,0.438
0.552675,0.434
0.5422554,0.514
0.5532035,0.45
0.5431226,0.466
0.55780447,0.388
0.5502624,0.42
0.5457511,0.43
0.54659903,0.45
0.54709935,0.42
0.55399925,0.43
0.54562867,0.486
0.5490601,0.452
0.5516226,0.408
0.5496003,0.456
0.5438637,0.458
0.5409365,0.494
0.5586331,0.362
0.54933256,0.47
0.54838467,0.446
0.54744583,0.49
0.54870903,0.466
0.5459769,0.472
0.54701513,0.476
0.5433342,0.466
0.54365003,0.472
0.54651517,0.446
0.53877014,0.52
0.5463949,0.49
0.5394303,0.516
0.54198295,0.504
0.5493983,0.46
0.54760057,0.432
0.5495561,0.474
0.53933036,0.5
0.544024,0.516
0.538449,0.514
0.5443662,0.488
0.5469166,0.464
0.5490049,0.464
0.53746986,0.502
0.5477697,0.474
0.549805,0.424
0.54723364,0.476
0.54747146,0.434
0.544954,0.476
0.5419196,0.498
0.54475206,0.456
0.5459716,0.492
0.5549333,0.41
0.54130906,0.486
0.5432001,0.452
0.5462771,0.45
0.5427995,0.496
0.5532983,0.43
0.5363151,0.546
0.54830736,0.44
0.54714906,0.45
0.5394197,0.538
