epoch,training_losses,training_recalls,validation_loss_epoch_end,validation_recall_epoch_end
1,0.82866734,0.203125,0.59715647,0.1953125
1,1.1082617,0.114583336,0.59715647,0.1953125
1,1.2153615,0.104166664,0.59715647,0.1953125
1,1.3388315,0.114583336,0.59715647,0.1953125
1,1.2942984,0.15625,0.59715647,0.1953125
1,1.2626563,0.16145833,0.59715647,0.1953125
1,1.2318435,0.114583336,0.59715647,0.1953125
1,1.2074953,0.13541667,0.59715647,0.1953125
1,1.1700822,0.13541667,0.59715647,0.1953125
1,1.0952218,0.140625,0.59715647,0.1953125
1,1.0936738,0.104166664,0.59715647,0.1953125
1,1.0418338,0.18229167,0.59715647,0.1953125
1,1.0333385,0.1875,0.59715647,0.1953125
1,1.010036,0.119791664,0.59715647,0.1953125
1,0.98202676,0.19270833,0.59715647,0.1953125
1,1.0303369,0.15625,0.59715647,0.1953125
1,1.0118214,0.1875,0.59715647,0.1953125
1,1.0085397,0.098958336,0.59715647,0.1953125
1,0.9567433,0.25520834,0.59715647,0.1953125
1,0.9456318,0.14583333,0.59715647,0.1953125
1,0.97558886,0.14583333,0.59715647,0.1953125
1,0.9506604,0.16145833,0.59715647,0.1953125
1,0.9523425,0.1875,0.59715647,0.1953125
1,0.9245036,0.140625,0.59715647,0.1953125
1,0.90251684,0.21354167,0.59715647,0.1953125
1,0.9494059,0.22916667,0.59715647,0.1953125
1,0.9282239,0.21354167,0.59715647,0.1953125
1,0.89100546,0.23958333,0.59715647,0.1953125
1,0.88303906,0.296875,0.59715647,0.1953125
1,0.890646,0.25520834,0.59715647,0.1953125
1,0.8915413,0.19270833,0.59715647,0.1953125
1,0.91791934,0.18229167,0.59715647,0.1953125
1,0.8627116,0.24479167,0.59715647,0.1953125
1,0.8875389,0.23958333,0.59715647,0.1953125
1,0.8592709,0.23958333,0.59715647,0.1953125
1,0.8588703,0.22395833,0.59715647,0.1953125
1,0.8669793,0.16666667,0.59715647,0.1953125
1,0.86169887,0.15104167,0.59715647,0.1953125
1,0.8566807,0.296875,0.59715647,0.1953125
1,0.85200644,0.17708333,0.59715647,0.1953125
1,0.8482787,0.23958333,0.59715647,0.1953125
1,0.8362737,0.203125,0.59715647,0.1953125
1,0.8395329,0.24479167,0.59715647,0.1953125
1,0.82471013,0.28645834,0.59715647,0.1953125
1,0.8404824,0.24479167,0.59715647,0.1953125
1,0.8522876,0.19791667,0.59715647,0.1953125
1,0.82006234,0.22395833,0.59715647,0.1953125
1,0.8294743,0.22395833,0.59715647,0.1953125
1,0.80561924,0.21875,0.59715647,0.1953125
1,0.81142545,0.265625,0.59715647,0.1953125
1,0.818476,0.26041666,0.59715647,0.1953125
1,0.81760794,0.25,0.59715647,0.1953125
1,0.81368774,0.24479167,0.59715647,0.1953125
1,0.83188605,0.16145833,0.59715647,0.1953125
1,0.8297903,0.21354167,0.59715647,0.1953125
1,0.809073,0.22916667,0.59715647,0.1953125
1,0.8139252,0.26041666,0.59715647,0.1953125
1,0.7951036,0.20833333,0.59715647,0.1953125
1,0.8042814,0.3125,0.59715647,0.1953125
1,0.7936563,0.27083334,0.59715647,0.1953125
1,0.8121019,0.20833333,0.59715647,0.1953125
1,0.7732355,0.25,0.59715647,0.1953125
1,0.7585764,0.31770834,0.59715647,0.1953125
1,0.80084705,0.21875,0.59715647,0.1953125
1,0.7966852,0.234375,0.59715647,0.1953125
1,0.7918275,0.21875,0.59715647,0.1953125
1,0.77305716,0.28645834,0.59715647,0.1953125
1,0.7763934,0.33333334,0.59715647,0.1953125
1,0.79561144,0.23958333,0.59715647,0.1953125
1,0.75437355,0.27083334,0.59715647,0.1953125
1,0.7951111,0.25520834,0.59715647,0.1953125
1,0.7895076,0.265625,0.59715647,0.1953125
1,0.7774994,0.28125,0.59715647,0.1953125
1,0.76395655,0.29166666,0.59715647,0.1953125
1,0.74538493,0.296875,0.59715647,0.1953125
1,0.7878348,0.25520834,0.59715647,0.1953125
1,0.77795106,0.32291666,0.59715647,0.1953125
1,0.75427467,0.234375,0.59715647,0.1953125
1,0.7712286,0.27604166,0.59715647,0.1953125
1,0.77864265,0.16666667,0.59715647,0.1953125
1,0.7669635,0.27083334,0.59715647,0.1953125
1,0.7589262,0.34895834,0.59715647,0.1953125
1,0.74678254,0.23958333,0.59715647,0.1953125
1,0.7754708,0.25,0.59715647,0.1953125
1,0.74395275,0.23958333,0.59715647,0.1953125
1,0.7817168,0.234375,0.59715647,0.1953125
1,0.76258403,0.17708333,0.59715647,0.1953125
1,0.7431348,0.30729166,0.59715647,0.1953125
1,0.75825495,0.296875,0.59715647,0.1953125
1,0.7757538,0.234375,0.59715647,0.1953125
1,0.75624377,0.23958333,0.59715647,0.1953125
1,0.7582507,0.20833333,0.59715647,0.1953125
1,0.7535674,0.265625,0.59715647,0.1953125
1,0.7337175,0.359375,0.59715647,0.1953125
1,0.7456679,0.3125,0.59715647,0.1953125
1,0.7348669,0.296875,0.59715647,0.1953125
1,0.7558804,0.234375,0.59715647,0.1953125
1,0.72595423,0.38020834,0.59715647,0.1953125
1,0.7577489,0.25,0.59715647,0.1953125
1,0.73966837,0.28125,0.59715647,0.1953125
1,0.7388982,0.23958333,0.59715647,0.1953125
1,0.73777705,0.27604166,0.59715647,0.1953125
1,0.7479593,0.20833333,0.59715647,0.1953125
1,0.72255605,0.27083334,0.59715647,0.1953125
1,0.75008994,0.24479167,0.59715647,0.1953125
1,0.759528,0.24479167,0.59715647,0.1953125
1,0.7375838,0.29166666,0.59715647,0.1953125
1,0.73923606,0.28125,0.59715647,0.1953125
1,0.73321867,0.27083334,0.59715647,0.1953125
1,0.7133393,0.32291666,0.59715647,0.1953125
1,0.73302895,0.3125,0.59715647,0.1953125
1,0.7486653,0.27083334,0.59715647,0.1953125
1,0.7283807,0.28645834,0.59715647,0.1953125
1,0.7343766,0.25,0.59715647,0.1953125
1,0.7308106,0.28645834,0.59715647,0.1953125
1,0.70749044,0.30208334,0.59715647,0.1953125
1,0.72756594,0.28125,0.59715647,0.1953125
1,0.73631674,0.31770834,0.59715647,0.1953125
1,0.71728873,0.26041666,0.59715647,0.1953125
1,0.7136662,0.28645834,0.59715647,0.1953125
1,0.7149227,0.30208334,0.59715647,0.1953125
1,0.74684876,0.24479167,0.59715647,0.1953125
1,0.73060447,0.328125,0.59715647,0.1953125
1,0.7350758,0.27604166,0.59715647,0.1953125
1,0.7431602,0.21875,0.59715647,0.1953125
1,0.6986232,0.29166666,0.59715647,0.1953125
1,0.7282246,0.30208334,0.59715647,0.1953125
1,0.72208494,0.27604166,0.59715647,0.1953125
1,0.6935641,0.41666666,0.59715647,0.1953125
1,0.7039601,0.30208334,0.59715647,0.1953125
1,0.725694,0.27604166,0.59715647,0.1953125
1,0.7005191,0.328125,0.59715647,0.1953125
1,0.7160268,0.30208334,0.59715647,0.1953125
1,0.72007656,0.20833333,0.59715647,0.1953125
1,0.7095831,0.29166666,0.59715647,0.1953125
1,0.717061,0.20833333,0.59715647,0.1953125
1,0.6899648,0.29166666,0.59715647,0.1953125
1,0.6814122,0.36458334,0.59715647,0.1953125
1,0.7060203,0.296875,0.59715647,0.1953125
1,0.70960253,0.27083334,0.59715647,0.1953125
1,0.70754147,0.22395833,0.59715647,0.1953125
1,0.71939725,0.25,0.59715647,0.1953125
1,0.72373515,0.22916667,0.59715647,0.1953125
1,0.7151627,0.26041666,0.59715647,0.1953125
1,0.71716243,0.24479167,0.59715647,0.1953125
1,0.71399194,0.32291666,0.59715647,0.1953125
1,0.6842211,0.35416666,0.59715647,0.1953125
1,0.7018264,0.28645834,0.59715647,0.1953125
1,0.72884256,0.27083334,0.59715647,0.1953125
1,0.6863015,0.32291666,0.59715647,0.1953125
1,0.69779783,0.32291666,0.59715647,0.1953125
1,0.7204151,0.26041666,0.59715647,0.1953125
1,0.6991494,0.28125,0.59715647,0.1953125
1,0.7096386,0.359375,0.59715647,0.1953125
1,0.70704085,0.296875,0.59715647,0.1953125
1,0.71620697,0.296875,0.59715647,0.1953125
1,0.7028501,0.3125,0.59715647,0.1953125
1,0.68974227,0.359375,0.59715647,0.1953125
1,0.69574,0.34895834,0.59715647,0.1953125
1,0.68851453,0.41145834,0.59715647,0.1953125
1,0.6811765,0.40625,0.59715647,0.1953125
1,0.6984361,0.265625,0.59715647,0.1953125
1,0.6985057,0.3125,0.59715647,0.1953125
1,0.67769974,0.41145834,0.59715647,0.1953125
1,0.6833284,0.36458334,0.59715647,0.1953125
1,0.69885474,0.30208334,0.59715647,0.1953125
1,0.697423,0.375,0.59715647,0.1953125
1,0.6777039,0.29166666,0.59715647,0.1953125
1,0.6602295,0.328125,0.59715647,0.1953125
1,0.6849944,0.22395833,0.59715647,0.1953125
1,0.6728413,0.36979166,0.59715647,0.1953125
1,0.68445706,0.33333334,0.59715647,0.1953125
1,0.6901148,0.23958333,0.59715647,0.1953125
1,0.69088554,0.32291666,0.59715647,0.1953125
1,0.69131833,0.28645834,0.59715647,0.1953125
1,0.7029162,0.24479167,0.59715647,0.1953125
1,0.6851854,0.34375,0.59715647,0.1953125
1,0.6893003,0.3125,0.59715647,0.1953125
1,0.6705207,0.42708334,0.59715647,0.1953125
1,0.68693733,0.328125,0.59715647,0.1953125
1,0.66036576,0.359375,0.59715647,0.1953125
1,0.6744421,0.35416666,0.59715647,0.1953125
1,0.68590814,0.33333334,0.59715647,0.1953125
1,0.68679047,0.28645834,0.59715647,0.1953125
1,0.6776019,0.375,0.59715647,0.1953125
1,0.6865985,0.30208334,0.59715647,0.1953125
1,0.677025,0.296875,0.59715647,0.1953125
1,0.6899433,0.296875,0.59715647,0.1953125
1,0.69790465,0.22916667,0.59715647,0.1953125
1,0.6730747,0.359375,0.59715647,0.1953125
1,0.67573667,0.24479167,0.59715647,0.1953125
1,0.6700272,0.36979166,0.59715647,0.1953125
1,0.6802392,0.36458334,0.59715647,0.1953125
1,0.66194195,0.46875,0.59715647,0.1953125
1,0.6841609,0.234375,0.59715647,0.1953125
1,0.66964585,0.34895834,0.59715647,0.1953125
1,0.67134184,0.296875,0.59715647,0.1953125
1,0.68560296,0.30208334,0.59715647,0.1953125
1,0.6630861,0.42708334,0.59715647,0.1953125
1,0.6496336,0.46354166,0.59715647,0.1953125
1,0.6829154,0.34895834,0.59715647,0.1953125
1,0.65993595,0.27083334,0.59715647,0.1953125
1,0.65870684,0.390625,0.59715647,0.1953125
1,0.6426448,0.3125,0.59715647,0.1953125
1,0.65520597,0.4375,0.59715647,0.1953125
1,0.6558197,0.30208334,0.59715647,0.1953125
1,0.66153187,0.39583334,0.59715647,0.1953125
1,0.6744368,0.390625,0.59715647,0.1953125
1,0.6493632,0.375,0.59715647,0.1953125
1,0.6565684,0.41666666,0.59715647,0.1953125
1,0.66830236,0.36979166,0.59715647,0.1953125
1,0.6597027,0.375,0.59715647,0.1953125
1,0.66325384,0.296875,0.59715647,0.1953125
1,0.64850515,0.44791666,0.59715647,0.1953125
1,0.65808105,0.3125,0.59715647,0.1953125
1,0.66708255,0.34895834,0.59715647,0.1953125
1,0.6693081,0.29166666,0.59715647,0.1953125
1,0.6621119,0.265625,0.59715647,0.1953125
1,0.6767369,0.328125,0.59715647,0.1953125
1,0.663867,0.33854166,0.59715647,0.1953125
1,0.64664966,0.32291666,0.59715647,0.1953125
1,0.66136795,0.38020834,0.59715647,0.1953125
1,0.649647,0.29166666,0.59715647,0.1953125
1,0.6507293,0.44791666,0.59715647,0.1953125
1,0.65142995,0.390625,0.59715647,0.1953125
1,0.6609971,0.34895834,0.59715647,0.1953125
1,0.659631,0.34895834,0.59715647,0.1953125
1,0.6604266,0.35416666,0.59715647,0.1953125
1,0.64988977,0.359375,0.59715647,0.1953125
1,0.6529438,0.38020834,0.59715647,0.1953125
1,0.67013234,0.41666666,0.59715647,0.1953125
1,0.65354013,0.41666666,0.59715647,0.1953125
1,0.6453141,0.46875,0.59715647,0.1953125
1,0.66307366,0.234375,0.59715647,0.1953125
1,0.66129273,0.328125,0.59715647,0.1953125
1,0.66124034,0.27604166,0.59715647,0.1953125
1,0.6613346,0.32291666,0.59715647,0.1953125
1,0.6453671,0.5,0.59715647,0.1953125
1,0.6445033,0.3125,0.59715647,0.1953125
1,0.6675844,0.36458334,0.59715647,0.1953125
1,0.6536673,0.36979166,0.59715647,0.1953125
1,0.63702947,0.42708334,0.59715647,0.1953125
1,0.63821626,0.390625,0.59715647,0.1953125
1,0.67413,0.21354167,0.59715647,0.1953125
1,0.64375365,0.359375,0.59715647,0.1953125
1,0.6514841,0.390625,0.59715647,0.1953125
1,0.6555648,0.29166666,0.59715647,0.1953125
1,0.65115327,0.24479167,0.59715647,0.1953125
1,0.6622031,0.27083334,0.59715647,0.1953125
2,0.64299077,0.31770834,0.44983158,0.296875
2,0.6331425,0.49479166,0.44983158,0.296875
2,0.63558865,0.4375,0.44983158,0.296875
2,0.6419118,0.34895834,0.44983158,0.296875
2,0.649769,0.3125,0.44983158,0.296875
2,0.6599591,0.33854166,0.44983158,0.296875
2,0.6437849,0.296875,0.44983158,0.296875
2,0.6456044,0.39583334,0.44983158,0.296875
2,0.6448623,0.359375,0.44983158,0.296875
2,0.6490402,0.35416666,0.44983158,0.296875
2,0.6427615,0.328125,0.44983158,0.296875
2,0.65065765,0.390625,0.44983158,0.296875
2,0.6365824,0.375,0.44983158,0.296875
2,0.6404963,0.30729166,0.44983158,0.296875
2,0.6527843,0.328125,0.44983158,0.296875
2,0.6499983,0.375,0.44983158,0.296875
