losses,recalls
0.54875433,0.364
0.5380524,0.496
0.5396831,0.472
0.54206085,0.36
0.5402835,0.41
0.5410866,0.418
0.545498,0.426
0.5448274,0.416
0.5454333,0.398
0.543549,0.408
0.54306394,0.382
0.5413264,0.432
0.54489696,0.388
0.541296,0.426
0.54667795,0.376
0.5411124,0.378
0.54529065,0.336
0.54741895,0.364
0.5422854,0.478
0.5397427,0.434
0.54229516,0.396
0.5407986,0.424
0.5419339,0.432
0.5446633,0.398
0.5424162,0.376
0.53591937,0.502
0.54483104,0.38
0.54050183,0.47
0.5327067,0.478
0.54699445,0.368
0.5386469,0.462
0.5507027,0.332
0.5413953,0.446
0.5439137,0.402
0.5442219,0.418
0.54434764,0.412
0.54779655,0.368
0.5387197,0.448
0.54311466,0.442
0.5386656,0.468
0.5372703,0.454
0.5375481,0.454
0.53650403,0.498
0.5375497,0.492
0.53638035,0.434
0.5416221,0.412
0.5377529,0.498
0.540879,0.444
0.53882617,0.444
0.5426208,0.458
0.5442447,0.422
0.5425833,0.41
0.5389949,0.452
0.54961824,0.386
0.54088444,0.436
0.5394846,0.48
0.54677624,0.398
0.5402935,0.428
0.5439577,0.432
0.54509944,0.4
0.54376835,0.46
0.54240894,0.428
0.5432482,0.378
0.5346026,0.442
0.5489489,0.37
0.5402745,0.414
0.53798854,0.486
0.54112303,0.448
0.5429125,0.418
0.53973234,0.452
0.5372086,0.46
0.54068613,0.414
0.54272914,0.426
0.53952354,0.414
0.54067457,0.446
0.546258,0.372
0.5403124,0.426
0.54661894,0.406
0.5347847,0.518
0.53569984,0.496
0.54036814,0.426
0.53873706,0.452
0.5412644,0.44
0.5421853,0.458
0.5436139,0.402
0.5402307,0.478
0.5481784,0.396
0.5460084,0.4
0.5444783,0.422
0.5403228,0.436
0.533468,0.49
0.54026586,0.436
0.5380202,0.522
0.5374538,0.458
0.537601,0.484
0.54113054,0.446
0.5427221,0.418
0.5403291,0.442
0.5385203,0.468
0.5392488,0.462
0.5406493,0.458
0.5475881,0.414
0.5434075,0.424
0.539933,0.414
0.5442942,0.404
0.5464605,0.402
0.53858256,0.444
0.54106784,0.468
0.5440477,0.402
0.5391355,0.448
0.54312265,0.402
0.5374705,0.452
0.540667,0.426
0.53542876,0.486
0.5367029,0.512
0.54521126,0.412
0.5394616,0.456
0.5426405,0.436
0.54182094,0.43
0.5391515,0.454
0.5352806,0.498
0.5378013,0.46
0.5353119,0.486
0.5433014,0.458
0.5361902,0.484
0.54070824,0.444
0.53712904,0.516
0.5344303,0.478
0.54315215,0.416
0.53873664,0.488
0.5373969,0.444
0.53850615,0.466
0.54503167,0.408
0.53918666,0.428
0.54471827,0.408
0.53787917,0.432
0.53683335,0.486
0.54111636,0.432
0.53471524,0.488
0.5356417,0.448
0.5412239,0.416
0.5374851,0.46
0.529326,0.532
0.5277975,0.546
0.5358039,0.48
0.5371613,0.442
0.53261393,0.514
0.5416682,0.442
0.53915906,0.452
0.5363483,0.488
0.5427438,0.472
0.5429977,0.41
0.5363841,0.492
0.5401646,0.456
0.5360131,0.476
0.54242295,0.408
0.53621995,0.468
0.5282324,0.528
0.5400356,0.428
0.53551394,0.454
0.53271365,0.51
0.53123945,0.53
0.5380907,0.47
0.52382505,0.54
0.53393066,0.472
0.53314644,0.496
0.5316292,0.466
0.5391721,0.452
0.54027724,0.456
0.53895074,0.442
0.5394994,0.42
0.5348295,0.498
0.53589827,0.436
0.5367485,0.504
0.53601044,0.486
0.5358284,0.514
0.52925366,0.492
0.53263813,0.464
0.5281621,0.542
0.5273624,0.542
0.5312676,0.494
0.53799564,0.424
0.5335585,0.49
0.5389916,0.416
0.53846866,0.406
0.53487796,0.488
0.5369198,0.48
0.5313886,0.506
0.5350216,0.44
0.5301103,0.486
0.5371027,0.424
0.5337076,0.47
0.5343758,0.488
0.5296735,0.536
0.5355153,0.49
0.53420705,0.45
0.5345341,0.454
