training_losses,training_recalls
0.6540433,0.33125
0.63584244,0.43125
0.65867954,0.4
0.63771755,0.45625
0.65751207,0.41875
0.6502183,0.36875
0.65743387,0.28125
0.67252535,0.39375
0.6885594,0.225
0.65813816,0.2875
0.65681034,0.3625
0.6721867,0.20625
0.6559474,0.375
0.669412,0.35625
0.6572098,0.39375
0.6651284,0.275
0.63772786,0.35625
0.66226405,0.24375
0.6488911,0.31875
0.6517833,0.34375
0.6533065,0.30625
0.6556581,0.36875
0.6430507,0.29375
0.66617334,0.33125
0.65801287,0.31875
0.6535678,0.3625
0.6476848,0.34375
0.65199137,0.26875
0.6498977,0.4
0.6346398,0.45625
0.6488899,0.30625
0.6664766,0.3
0.6505231,0.33125
0.63077414,0.375
0.66108406,0.3
0.64261925,0.3875
0.6816598,0.3375
0.6441785,0.30625
0.62136924,0.425
0.652315,0.3125
0.6519522,0.39375
0.65613973,0.3125
0.6426576,0.3125
0.6501339,0.3125
0.63014317,0.425
0.6560016,0.29375
0.6473503,0.375
0.65069586,0.35
0.6466465,0.325
0.6567075,0.30625
0.6594361,0.35625
0.6539774,0.26875
0.64151907,0.3625
0.6528784,0.375
0.64134943,0.31875
0.6493863,0.3125
0.6499513,0.3
0.6559577,0.325
0.6378716,0.41875
0.6341629,0.35625
0.6343692,0.4
0.6470622,0.29375
0.63703567,0.35625
0.64096355,0.4
0.6358772,0.3
0.664287,0.31875
0.64207864,0.36875
0.6498365,0.375
0.64736193,0.4125
0.64004624,0.35625
0.65284956,0.325
0.62508106,0.44375
0.63222694,0.36875
0.6418823,0.325
0.6485492,0.29375
0.63528323,0.275
0.6421915,0.35
0.63186276,0.33125
0.6342002,0.3375
0.63507575,0.35
0.6294066,0.4375
0.6340459,0.3125
0.63532645,0.4
0.63892686,0.34375
0.6283965,0.38125
0.6373453,0.33125
0.6472472,0.3
0.6507014,0.3
0.6325733,0.3875
0.64560026,0.36875
0.63543403,0.425
0.6509634,0.2875
0.6467942,0.33125
0.64773506,0.23125
0.6327902,0.4
0.6295835,0.41875
0.627704,0.31875
0.6288822,0.41875
0.6435747,0.29375
0.6307443,0.36875
0.65144485,0.30625
0.65618306,0.2625
0.6518769,0.30625
0.6378711,0.325
0.6168751,0.31875
0.6334367,0.33125
0.64832604,0.26875
0.63810766,0.325
0.63711137,0.33125
0.6354874,0.26875
0.6211848,0.3
0.63307494,0.3375
0.6408884,0.34375
0.63785636,0.39375
0.62501323,0.3375
0.6332029,0.25625
0.63107,0.36875
0.612356,0.31875
0.62960243,0.38125
0.6346985,0.3375
0.62575096,0.3875
0.635131,0.35
0.625758,0.34375
0.6346129,0.35625
0.63356626,0.29375
0.6406609,0.35
0.63383377,0.33125
0.6150519,0.45625
0.6301074,0.39375
0.62918663,0.36875
0.6196499,0.33125
0.6324221,0.35
0.612831,0.475
0.6323838,0.425
0.6164991,0.325
0.62991625,0.31875
0.64223003,0.2875
0.63441527,0.25625
0.6086174,0.2875
0.6051802,0.46875
0.6326717,0.2875
0.6319417,0.36875
0.6236357,0.4375
0.64685607,0.2625
0.62681055,0.41875
0.61218375,0.4375
0.6216594,0.3625
