losses,recalls
0.54755914,0.214
0.5484139,0.238
0.54877234,0.174
0.5431806,0.288
0.546558,0.214
0.55011237,0.234
0.54504406,0.258
0.54489535,0.266
0.5534641,0.23
0.5447937,0.244
0.55014145,0.214
0.54783374,0.266
0.5480342,0.206
0.5509242,0.21
0.5502693,0.27
0.5461535,0.208
0.54757863,0.242
0.5479198,0.222
0.54525363,0.274
0.5507973,0.206
0.54405886,0.302
0.54436535,0.272
0.5431176,0.24
0.5475975,0.222
0.5456116,0.25
0.55153364,0.22
0.5424211,0.264
0.54685956,0.18
0.5466369,0.228
0.54606706,0.274
0.5502468,0.196
0.5456047,0.298
0.5517349,0.186
0.5543324,0.17
0.5478851,0.254
0.5427338,0.294
0.55106163,0.21
0.552546,0.186
0.54572874,0.328
0.5472907,0.216
0.5493452,0.234
0.5493176,0.258
0.5454763,0.236
0.54874134,0.252
0.5499962,0.242
0.5505286,0.228
0.5495796,0.236
0.5462378,0.246
0.54763985,0.23
0.5448762,0.314
0.5471661,0.24
0.54828817,0.252
0.55108494,0.202
0.5451886,0.298
0.5443329,0.274
0.54656726,0.232
0.54688716,0.232
0.54605436,0.24
0.5486088,0.236
0.54485035,0.264
0.54685605,0.214
0.54983526,0.246
0.5451978,0.298
0.5431565,0.268
0.5492152,0.202
0.5474774,0.296
0.55210197,0.246
0.5499611,0.234
0.54570985,0.316
0.54458743,0.25
0.54620755,0.246
0.54403883,0.26
0.54541653,0.274
0.5454451,0.288
0.5496331,0.226
0.5493011,0.21
0.54613334,0.234
0.55090815,0.208
0.5499871,0.224
0.54480195,0.23
0.5494281,0.216
0.5439562,0.256
0.5488297,0.22
0.5480989,0.222
0.54017895,0.254
0.54377496,0.24
0.5416045,0.292
0.5460936,0.234
0.5427733,0.296
0.546268,0.242
0.5461166,0.268
0.54673415,0.246
0.5507084,0.242
0.54582727,0.322
0.54482216,0.312
0.54755706,0.262
0.5476127,0.24
0.5486551,0.258
0.5452355,0.258
0.54680765,0.292
0.54386824,0.312
0.54330444,0.262
0.5514158,0.228
0.5462127,0.27
0.54333115,0.322
0.544263,0.262
0.5449826,0.274
0.5467339,0.276
0.5463719,0.262
0.5423521,0.298
0.5455089,0.276
0.5429032,0.314
0.53870714,0.326
0.54358953,0.268
0.54186356,0.338
0.5454358,0.286
0.5474363,0.284
0.544208,0.288
0.543546,0.276
0.54201996,0.27
0.5360852,0.352
0.5460027,0.264
0.5442562,0.276
0.5448776,0.282
0.5476683,0.23
0.54005486,0.308
0.5495478,0.246
0.536198,0.31
0.54557925,0.254
0.5433214,0.242
0.5413591,0.28
0.54601204,0.302
0.545263,0.302
0.5410209,0.332
0.54544306,0.274
0.5449797,0.316
0.54373556,0.276
0.5452155,0.31
0.5423564,0.298
0.5456425,0.262
0.54352117,0.296
0.538792,0.304
0.5430645,0.264
0.54590005,0.264
0.5428931,0.276
0.5415477,0.288
0.5461147,0.238
0.5430215,0.3
0.5460246,0.296
0.5425237,0.302
0.5438014,0.29
0.5444777,0.28
0.5432871,0.288
0.5434827,0.272
0.5446063,0.272
0.5445415,0.282
0.54443616,0.28
0.543644,0.292
0.5432075,0.29
0.53941286,0.32
0.54101735,0.312
0.53756976,0.314
0.54382753,0.262
0.54941905,0.292
0.54308885,0.354
0.54114485,0.32
0.53894055,0.336
0.54445726,0.298
0.537012,0.318
0.54249597,0.296
0.5444361,0.282
0.54091907,0.276
0.53986454,0.362
0.5420841,0.268
0.5402094,0.29
