epoch,training_losses,training_recalls,validation_loss_epoch_end,validation_recall_epoch_end
1,0.83496207,0.07421875,0.54549944,0.3046875
1,1.0511639,0.0859375,0.54549944,0.3046875
1,1.0323476,0.0546875,0.54549944,0.3046875
1,1.0390322,0.15234375,0.54549944,0.3046875
1,0.97020286,0.07421875,0.54549944,0.3046875
1,0.95746297,0.12109375,0.54549944,0.3046875
1,0.91613686,0.1328125,0.54549944,0.3046875
1,0.91805595,0.109375,0.54549944,0.3046875
1,0.902129,0.07421875,0.54549944,0.3046875
1,0.87487876,0.125,0.54549944,0.3046875
1,0.871089,0.13671875,0.54549944,0.3046875
1,0.85805184,0.1484375,0.54549944,0.3046875
1,0.8326362,0.140625,0.54549944,0.3046875
1,0.81610066,0.140625,0.54549944,0.3046875
1,0.8289544,0.234375,0.54549944,0.3046875
1,0.8298388,0.078125,0.54549944,0.3046875
1,0.8167967,0.13671875,0.54549944,0.3046875
1,0.81448984,0.15625,0.54549944,0.3046875
1,0.7882538,0.1953125,0.54549944,0.3046875
1,0.7951554,0.16796875,0.54549944,0.3046875
1,0.7721253,0.2578125,0.54549944,0.3046875
1,0.8008028,0.16796875,0.54549944,0.3046875
1,0.7829696,0.171875,0.54549944,0.3046875
1,0.78307766,0.1328125,0.54549944,0.3046875
1,0.7698115,0.14453125,0.54549944,0.3046875
1,0.769256,0.21484375,0.54549944,0.3046875
1,0.7766561,0.16796875,0.54549944,0.3046875
1,0.7607896,0.1875,0.54549944,0.3046875
1,0.7542801,0.24609375,0.54549944,0.3046875
1,0.7468442,0.24609375,0.54549944,0.3046875
1,0.7556233,0.19140625,0.54549944,0.3046875
1,0.7501564,0.1796875,0.54549944,0.3046875
1,0.7426244,0.1875,0.54549944,0.3046875
1,0.7482551,0.171875,0.54549944,0.3046875
1,0.73694026,0.21875,0.54549944,0.3046875
1,0.7391973,0.19921875,0.54549944,0.3046875
1,0.74964553,0.16015625,0.54549944,0.3046875
1,0.7567583,0.14453125,0.54549944,0.3046875
1,0.7389018,0.2265625,0.54549944,0.3046875
1,0.74205387,0.19921875,0.54549944,0.3046875
1,0.7292479,0.19921875,0.54549944,0.3046875
1,0.72268975,0.24609375,0.54549944,0.3046875
1,0.74509937,0.203125,0.54549944,0.3046875
1,0.72845393,0.23046875,0.54549944,0.3046875
1,0.7261362,0.1796875,0.54549944,0.3046875
1,0.71866906,0.21484375,0.54549944,0.3046875
1,0.71119297,0.22265625,0.54549944,0.3046875
1,0.7384327,0.1796875,0.54549944,0.3046875
1,0.7242857,0.2109375,0.54549944,0.3046875
1,0.71583277,0.23046875,0.54549944,0.3046875
1,0.6942002,0.265625,0.54549944,0.3046875
1,0.72630244,0.21484375,0.54549944,0.3046875
1,0.71269995,0.19140625,0.54549944,0.3046875
1,0.72216564,0.1796875,0.54549944,0.3046875
1,0.71504015,0.203125,0.54549944,0.3046875
1,0.69817597,0.18359375,0.54549944,0.3046875
1,0.70888996,0.16015625,0.54549944,0.3046875
1,0.71193737,0.1796875,0.54549944,0.3046875
1,0.71527725,0.171875,0.54549944,0.3046875
1,0.7161022,0.1640625,0.54549944,0.3046875
1,0.7109276,0.203125,0.54549944,0.3046875
1,0.69635445,0.15625,0.54549944,0.3046875
1,0.7132544,0.21484375,0.54549944,0.3046875
1,0.7122149,0.19140625,0.54549944,0.3046875
1,0.6983867,0.2109375,0.54549944,0.3046875
1,0.6974076,0.23046875,0.54549944,0.3046875
1,0.69178396,0.265625,0.54549944,0.3046875
1,0.689126,0.2734375,0.54549944,0.3046875
1,0.6885747,0.28125,0.54549944,0.3046875
1,0.6936103,0.21484375,0.54549944,0.3046875
1,0.6919673,0.1640625,0.54549944,0.3046875
1,0.709804,0.23046875,0.54549944,0.3046875
1,0.69441426,0.26171875,0.54549944,0.3046875
1,0.6888323,0.1953125,0.54549944,0.3046875
1,0.6762253,0.3125,0.54549944,0.3046875
1,0.70159334,0.20703125,0.54549944,0.3046875
1,0.6963159,0.28125,0.54549944,0.3046875
1,0.6909342,0.171875,0.54549944,0.3046875
1,0.67663246,0.28125,0.54549944,0.3046875
1,0.6917699,0.1953125,0.54549944,0.3046875
1,0.68056715,0.2578125,0.54549944,0.3046875
1,0.6850552,0.25390625,0.54549944,0.3046875
1,0.6744514,0.2109375,0.54549944,0.3046875
1,0.6770138,0.28515625,0.54549944,0.3046875
1,0.6969293,0.15234375,0.54549944,0.3046875
1,0.68948585,0.23828125,0.54549944,0.3046875
1,0.6738635,0.23046875,0.54549944,0.3046875
1,0.6803803,0.265625,0.54549944,0.3046875
1,0.6778761,0.2890625,0.54549944,0.3046875
1,0.6890752,0.23828125,0.54549944,0.3046875
1,0.6810767,0.19921875,0.54549944,0.3046875
1,0.69503945,0.125,0.54549944,0.3046875
1,0.6801489,0.28515625,0.54549944,0.3046875
1,0.6766946,0.2421875,0.54549944,0.3046875
1,0.6648933,0.30859375,0.54549944,0.3046875
1,0.6751638,0.27734375,0.54549944,0.3046875
1,0.6746335,0.234375,0.54549944,0.3046875
1,0.66798973,0.234375,0.54549944,0.3046875
1,0.67535985,0.2265625,0.54549944,0.3046875
1,0.676954,0.26953125,0.54549944,0.3046875
1,0.6906928,0.171875,0.54549944,0.3046875
1,0.6662373,0.3125,0.54549944,0.3046875
1,0.65889347,0.3203125,0.54549944,0.3046875
1,0.67826307,0.2734375,0.54549944,0.3046875
1,0.6659039,0.25,0.54549944,0.3046875
1,0.6727204,0.234375,0.54549944,0.3046875
1,0.67711484,0.26953125,0.54549944,0.3046875
1,0.6926943,0.171875,0.54549944,0.3046875
1,0.66117734,0.25390625,0.54549944,0.3046875
1,0.66815513,0.28515625,0.54549944,0.3046875
1,0.66669434,0.2890625,0.54549944,0.3046875
1,0.67171437,0.24609375,0.54549944,0.3046875
1,0.6520404,0.3203125,0.54549944,0.3046875
1,0.6665587,0.26953125,0.54549944,0.3046875
1,0.66353756,0.265625,0.54549944,0.3046875
1,0.6600123,0.27734375,0.54549944,0.3046875
1,0.6701626,0.27734375,0.54549944,0.3046875
1,0.65483636,0.25,0.54549944,0.3046875
1,0.67152345,0.22265625,0.54549944,0.3046875
1,0.65454483,0.265625,0.54549944,0.3046875
1,0.6474,0.38671875,0.54549944,0.3046875
1,0.6605708,0.2265625,0.54549944,0.3046875
1,0.65686214,0.23828125,0.54549944,0.3046875
1,0.6609271,0.25,0.54549944,0.3046875
1,0.6631242,0.25,0.54549944,0.3046875
1,0.66372126,0.234375,0.54549944,0.3046875
1,0.6542707,0.26171875,0.54549944,0.3046875
1,0.6586199,0.24609375,0.54549944,0.3046875
1,0.67346716,0.17578125,0.54549944,0.3046875
1,0.65752715,0.26953125,0.54549944,0.3046875
1,0.6588453,0.26171875,0.54549944,0.3046875
1,0.641534,0.33984375,0.54549944,0.3046875
1,0.6423744,0.30859375,0.54549944,0.3046875
1,0.6533041,0.23046875,0.54549944,0.3046875
1,0.6547699,0.2421875,0.54549944,0.3046875
1,0.646133,0.3203125,0.54549944,0.3046875
1,0.6543184,0.2578125,0.54549944,0.3046875
1,0.65693146,0.25,0.54549944,0.3046875
1,0.64977634,0.28125,0.54549944,0.3046875
1,0.63663805,0.37109375,0.54549944,0.3046875
1,0.63482875,0.3359375,0.54549944,0.3046875
1,0.64934856,0.26953125,0.54549944,0.3046875
1,0.6549943,0.36328125,0.54549944,0.3046875
1,0.64858395,0.28125,0.54549944,0.3046875
1,0.6304944,0.3359375,0.54549944,0.3046875
1,0.6511695,0.27734375,0.54549944,0.3046875
1,0.65330946,0.24609375,0.54549944,0.3046875
1,0.6548447,0.24609375,0.54549944,0.3046875
1,0.63951904,0.25390625,0.54549944,0.3046875
1,0.647788,0.23046875,0.54549944,0.3046875
1,0.65178543,0.2109375,0.54549944,0.3046875
1,0.65775913,0.21875,0.54549944,0.3046875
1,0.6563528,0.23046875,0.54549944,0.3046875
1,0.65056074,0.19921875,0.54549944,0.3046875
1,0.63502395,0.2890625,0.54549944,0.3046875
1,0.64171183,0.26171875,0.54549944,0.3046875
1,0.65040463,0.234375,0.54549944,0.3046875
1,0.6431327,0.30859375,0.54549944,0.3046875
1,0.6503107,0.2734375,0.54549944,0.3046875
1,0.6382314,0.265625,0.54549944,0.3046875
1,0.6387979,0.2265625,0.54549944,0.3046875
1,0.6505342,0.26171875,0.54549944,0.3046875
1,0.6407145,0.2734375,0.54549944,0.3046875
1,0.6333453,0.33984375,0.54549944,0.3046875
1,0.6392411,0.3046875,0.54549944,0.3046875
1,0.63622135,0.30859375,0.54549944,0.3046875
1,0.6524328,0.26171875,0.54549944,0.3046875
1,0.64135474,0.23046875,0.54549944,0.3046875
1,0.63652855,0.2890625,0.54549944,0.3046875
1,0.62516814,0.30078125,0.54549944,0.3046875
1,0.63859695,0.30859375,0.54549944,0.3046875
1,0.640178,0.28515625,0.54549944,0.3046875
1,0.6376257,0.27734375,0.54549944,0.3046875
1,0.6526609,0.296875,0.54549944,0.3046875
1,0.6359355,0.24609375,0.54549944,0.3046875
1,0.6519618,0.20703125,0.54549944,0.3046875
1,0.63677067,0.31640625,0.54549944,0.3046875
1,0.63864744,0.2578125,0.54549944,0.3046875
1,0.6268953,0.296875,0.54549944,0.3046875
1,0.63771933,0.2578125,0.54549944,0.3046875
1,0.6322678,0.2421875,0.54549944,0.3046875
1,0.62697154,0.28125,0.54549944,0.3046875
1,0.63570154,0.2734375,0.54549944,0.3046875
1,0.6240477,0.33984375,0.54549944,0.3046875
1,0.6352216,0.2734375,0.54549944,0.3046875
1,0.6392871,0.265625,0.54549944,0.3046875
1,0.6234377,0.32421875,0.54549944,0.3046875
1,0.6252389,0.33203125,0.54549944,0.3046875
1,0.63128746,0.3125,0.54549944,0.3046875
1,0.63391525,0.28515625,0.54549944,0.3046875
1,0.6463603,0.24609375,0.54549944,0.3046875
1,0.64039177,0.27734375,0.54549944,0.3046875
1,0.6293523,0.2578125,0.54549944,0.3046875
1,0.6201162,0.32421875,0.54549944,0.3046875
1,0.6221514,0.3125,0.54549944,0.3046875
1,0.62846756,0.328125,0.54549944,0.3046875
1,0.6147585,0.40234375,0.54549944,0.3046875
1,0.636681,0.29296875,0.54549944,0.3046875
1,0.61783916,0.37890625,0.54549944,0.3046875
1,0.63450575,0.2890625,0.54549944,0.3046875
1,0.6385242,0.22265625,0.54549944,0.3046875
